Sample,kefir type,Stage,Timepoint,merge_column,data_source
WK069,WL,T2,48x2,WK069_2_L_48h_05D2_S81,Mortensen et al 2023
WK069,WL,T2,8x2,WK069_2_L_08h_05D1_S80,Mortensen et al 2023
WK069,WG,T2,48x2,WK069_2_G_48h_05I4_S128,Mortensen et al 2023
WK069,WL,T1,48x1,WK069_1_L_48h_05C9_S79,Mortensen et al 2023
WK069,WL,T1,8x1,WK069_1_L_08h_05C8_S78,Mortensen et al 2023
WK068,WL,T2,48x2,WK068_2_L_48h_05C7_S77,Mortensen et al 2023
WK068,WL,T2,8x2,WK068_2_L_08h_05C6_S76,Mortensen et al 2023
WK068,WG,T2,48x2,WK068_2_G_48h_05I3_S127,Mortensen et al 2023
WK068,WL,T1,48x1,WK068_1_L_48h_05C5_S75,Mortensen et al 2023
WK068,WL,T1,8x1,WK068_1_L_08h_05C4_S74,Mortensen et al 2023
WK067,WL,T2,48x2,WK067_2_L_48h_05C3_S73,Mortensen et al 2023
WK067,WL,T2,8x2,WK067_2_L_08h_05C2_S72,Mortensen et al 2023
WK067,WG,T2,48x2,WK067_2_G_48h_05I2_S126,Mortensen et al 2023
WK067,WL,T1,48x1,WK067_1_L_48h_05C1_S71,Mortensen et al 2023
WK067,WL,T1,8x1,WK067_1_L_08h_05B9_S70,Mortensen et al 2023
WK066,WL,T2,48x2,WK066_2_L_48h_05B8_S69,Mortensen et al 2023
WK066,WL,T2,8x2,WK066_2_L_08h_05B7_S68,Mortensen et al 2023
WK066,WG,T2,48x2,WK066_2_G_48h_05I1_S125,Mortensen et al 2023
WK066,WL,T1,48x1,WK066_1_L_48h_05B6_S67,Mortensen et al 2023
WK066,WL,T1,8x1,WK066_1_L_08h_05B5_S66,Mortensen et al 2023
WK065,WL,T2,48x2,WK065_2_L_48h_05B4_S65,Mortensen et al 2023
WK065,WL,T2,8x2,WK065_2_L_08h_05B3_S64,Mortensen et al 2023
WK065,WG,T2,48x2,WK065_2_G_48h_05H9_S124,Mortensen et al 2023
WK065,WL,T1,48x1,WK065_1_L_48h_05B2_S63,Mortensen et al 2023
WK065,WL,T1,8x1,WK065_1_L_08h_05B1_S62,Mortensen et al 2023
WK064,WL,T2,48x2,WK064_2_L_48h_05A5_S57,Mortensen et al 2023
WK064,WL,T2,8x2,WK064_2_L_08h_05A4_S56,Mortensen et al 2023
WK064,WG,T2,48x2,WK064_2_G_48h_05H7_S122,Mortensen et al 2023
WK064,WL,T1,48x1,WK064_1_L_48h_05A3_S55,Mortensen et al 2023
WK064,WL,T1,8x1,WK064_1_L_08h_05A2_S54,Mortensen et al 2023
WK063,WL,T2,48x2,WK063_2_L_48h_05A1_S53,Mortensen et al 2023
WK063,WL,T2,8x2,WK063_2_L_08h_04I9_S52,Mortensen et al 2023
WK063,WG,T2,48x2,WK063_2_G_48h_05H6_S121,Mortensen et al 2023
WK063,WL,T1,48x1,WK063_1_L_48h_04I8_S51,Mortensen et al 2023
WK063,WL,T1,8x1,WK063_1_L_08h_04I7_S50,Mortensen et al 2023
WK062,WL,T2,48x2,WK062_2_L_48h_04I6_S49,Mortensen et al 2023
WK062,WL,T2,8x2,WK062_2_L_08h_04I5_S48,Mortensen et al 2023
WK062,WG,T2,48x2,WK062_2_G_48h_05H5_S120,Mortensen et al 2023
WK062,WL,T1,48x1,WK062_1_L_48h_04I4_S47,Mortensen et al 2023
WK062,WL,T1,8x1,WK062_1_L_08h_04I3_S46,Mortensen et al 2023
WK061,WL,T2,48x2,WK061_2_L_48h_04I2_S45,Mortensen et al 2023
WK061,WL,T2,8x2,WK061_2_L_08h_04I1_S44,Mortensen et al 2023
WK061,WG,T2,48x2,WK061_2_G_48h_05H4_S119,Mortensen et al 2023
WK061,WL,T1,48x1,WK061_1_L_48h_04H9_S43,Mortensen et al 2023
WK061,WL,T1,8x1,WK061_1_L_08h_04H8_S42,Mortensen et al 2023
WK060,WL,T2,48x2,WK060_2_L_48h_04H7_S41,Mortensen et al 2023
WK060,WL,T2,8x2,WK060_2_L_08h_04H6_S40,Mortensen et al 2023
WK060,WG,T2,48x2,WK060_2_G_48h_05H3_S118,Mortensen et al 2023
WK060,WL,T1,48x1,WK060_1_L_48h_04H5_S39,Mortensen et al 2023
WK060,WL,T1,8x1,WK060_1_L_08h_04H4_S38,Mortensen et al 2023
WK059,WL,T2,48x2,WK059_2_L_48h_04H3_S37,Mortensen et al 2023
WK059,WL,T2,8x2,WK059_2_L_08h_04H2_S36,Mortensen et al 2023
WK059,WG,T2,48x2,WK059_2_G_48h_05H2_S117,Mortensen et al 2023
WK059,WL,T1,48x1,WK059_1_L_48h_04H1_S35,Mortensen et al 2023
WK059,WL,T1,8x1,WK059_1_L_08h_04G9_S34,Mortensen et al 2023
WK058,WL,T2,48x2,WK058_2_L_48h_04G8_S33,Mortensen et al 2023
WK058,WL,T2,8x2,WK058_2_L_08h_04G7_S32,Mortensen et al 2023
WK058,WG,T2,48x2,WK058_2_G_48h_05H1_S116,Mortensen et al 2023
WK058,WL,T1,48x1,WK058_1_L_48h_04G6_S31,Mortensen et al 2023
WK058,WL,T1,8x1,WK058_1_L_08h_04G5_S30,Mortensen et al 2023
WK057,WL,T2,48x2,WK057_2_L_48h_04G4_S29,Mortensen et al 2023
WK057,WL,T2,8x2,WK057_2_L_08h_04G3_S28,Mortensen et al 2023
WK057,WG,T2,48x2,WK057_2_G_48h_05G9_S115,Mortensen et al 2023
WK057,WL,T1,48x1,WK057_1_L_48h_04G2_S27,Mortensen et al 2023
WK057,WL,T1,8x1,WK057_1_L_08h_04G1_S26,Mortensen et al 2023
WK056,WL,T2,48x2,WK056_2_L_48h_04F9_S25,Mortensen et al 2023
WK056,WL,T2,8x2,WK056_2_L_08h_04F8_S24,Mortensen et al 2023
WK056,WG,T2,48x2,WK056_2_G_48h_05G8_S114,Mortensen et al 2023
WK056,WL,T1,48x1,WK056_1_L_48h_04F7_S23,Mortensen et al 2023
WK056,WL,T1,8x1,WK056_1_L_08h_04F6_S22,Mortensen et al 2023
WK055,WL,T2,48x2,WK055_2_L_48h_04F5_S21,Mortensen et al 2023
WK055,WL,T2,8x2,WK055_2_L_08h_04F4_S20,Mortensen et al 2023
WK055,WG,T2,48x2,WK055_2_G_48h_05G7_S113,Mortensen et al 2023
WK055,WL,T1,48x1,WK055_1_L_48h_04F3_S19,Mortensen et al 2023
WK055,WL,T1,8x1,WK055_1_L_08h_04F2_S18,Mortensen et al 2023
WK054,WL,T2,48x2,WK054_2_L_48h_04F1_S17,Mortensen et al 2023
WK054,WL,T2,8x2,WK054_2_L_08h_04E9_S16,Mortensen et al 2023
WK054,WG,T2,48x2,WK054_2_G_48h_05G6_S112,Mortensen et al 2023
WK054,WL,T1,48x1,WK054_1_L_48h_04E8_S15,Mortensen et al 2023
WK054,WL,T1,8x1,WK054_1_L_08h_04E7_S14,Mortensen et al 2023
WK053,WL,T2,48x2,WK053_2_L_48h_04E6_S13,Mortensen et al 2023
WK053,WL,T2,8x2,WK053_2_L_08h_04E5_S12,Mortensen et al 2023
WK053,WG,T2,48x2,WK053_2_G_48h_05G5_S111,Mortensen et al 2023
WK053,WL,T1,48x1,WK053_1_L_48h_04E4_S11,Mortensen et al 2023
WK053,WL,T1,8x1,WK053_1_L_08h_04E3_S10,Mortensen et al 2023
WK052,WL,T2,48x2,WK052_2_L_48h_04E2_S9,Mortensen et al 2023
WK052,WL,T2,8x2,WK052_2_L_08h_04E1_S8,Mortensen et al 2023
WK052,WG,T2,48x2,WK052_2_G_48h_05G4_S110,Mortensen et al 2023
WK052,WL,T1,48x1,WK052_1_L_48h_04D9_S7,Mortensen et al 2023
WK052,WL,T1,8x1,WK052_1_L_08h_04D8_S6,Mortensen et al 2023
WK051,WL,T2,48x2,WK051_2_L_48h_04D7_S5,Mortensen et al 2023
WK051,WL,T2,8x2,WK051_2_L_08h_04D6_S4,Mortensen et al 2023
WK051,WG,T2,48x2,WK051_2_G_48h_04D3_S1,Mortensen et al 2023
WK051,WL,T1,48x1,WK051_1_L_48h_04D5_S3,Mortensen et al 2023
WK051,WL,T1,8x1,WK051_1_L_08h_04D4_S2,Mortensen et al 2023
WK050,WL,T2,48x2,WK050_2_L_48h_04D1_S128,Mortensen et al 2023
WK050,WL,T2,8x2,WK050_2_L_08h_04C9_S127,Mortensen et al 2023
WK050,WG,T2,48x2,WK050_2_G_48h_04D2_S129,Mortensen et al 2023
WK050,WL,T1,48x1,WK050_1_L_48h_04C8_S126,Mortensen et al 2023
WK050,WL,T1,8x1,WK050_1_L_08h_04C7_S125,Mortensen et al 2023
WK049,WL,T2,48x2,WK049_2_L_48h_05A9_S61,Mortensen et al 2023
WK049,WL,T2,8x2,WK049_2_L_08h_05A8_S60,Mortensen et al 2023
WK049,WG,T2,48x2,WK049_2_G_48h_05H8_S123,Mortensen et al 2023
WK049,WL,T1,48x1,WK049_1_L_48h_05A7_S59,Mortensen et al 2023
WK049,WL,T1,8x1,WK049_1_L_08h_05A6_S58,Mortensen et al 2023
WK048,WL,T2,48x2,WK048_2_L_48h_03I9_S100,Mortensen et al 2023
WK048,WL,T2,8x2,WK048_2_L_08h_03I8_S99,Mortensen et al 2023
WK048,WG,T2,48x2,WK048_2_G_48h_04C6_S124,Mortensen et al 2023
WK048,WL,T1,48x1,WK048_1_L_48h_03I7_S98,Mortensen et al 2023
WK048,WL,T1,8x1,WK048_1_L_08h_03I6_S97,Mortensen et al 2023
WK047,WL,T2,48x2,WK047_2_L_48h_03I5_S96,Mortensen et al 2023
WK047,WL,T2,8x2,WK047_2_L_08h_03I4_S95,Mortensen et al 2023
WK047,WG,T2,48x2,WK047_2_G_48h_04C5_S123,Mortensen et al 2023
WK047,WL,T1,48x1,WK047_1_L_48h_03I3_S94,Mortensen et al 2023
WK047,WL,T1,8x1,WK047_1_L_08h_03I2_S93,Mortensen et al 2023
WK046,WL,T2,48x2,WK046_2_L_48h_03I1_S92,Mortensen et al 2023
WK046,WL,T2,8x2,WK046_2_L_08h_03H9_S91,Mortensen et al 2023
WK046,WG,T2,48x2,WK046_2_G_48h_04C4_S122,Mortensen et al 2023
WK046,WL,T1,48x1,WK046_1_L_48h_03H8_S90,Mortensen et al 2023
WK046,WL,T1,8x1,WK046_1_L_08h_03H7_S89,Mortensen et al 2023
WK045,WL,T2,48x2,WK045_2_L_48h_03H6_S88,Mortensen et al 2023
WK045,WL,T2,8x2,WK045_2_L_08h_03H5_S87,Mortensen et al 2023
WK045,WG,T2,48x2,WK045_2_G_48h_04C3_S121,Mortensen et al 2023
WK045,WL,T1,48x1,WK045_1_L_48h_03H4_S86,Mortensen et al 2023
WK045,WL,T1,8x1,WK045_1_L_08h_03H3_S85,Mortensen et al 2023
WK044,WL,T2,48x2,WK044_2_L_48h_03H2_S84,Mortensen et al 2023
WK044,WL,T2,8x2,WK044_2_L_08h_03H1_S83,Mortensen et al 2023
WK044,WG,T2,48x2,WK044_2_G_48h_04C2_S120,Mortensen et al 2023
WK044,WL,T1,48x1,WK044_1_L_48h_03G9_S82,Mortensen et al 2023
WK044,WL,T1,8x1,WK044_1_L_08h_03G8_S81,Mortensen et al 2023
WK043,WL,T2,48x2,WK043_2_L_48h_03G7_S80,Mortensen et al 2023
WK043,WL,T2,8x2,WK043_2_L_08h_03G6_S79,Mortensen et al 2023
WK043,WG,T2,48x2,WK043_2_G_48h_04C1_S119,Mortensen et al 2023
WK043,WL,T1,48x1,WK043_1_L_48h_03G5_S78,Mortensen et al 2023
WK043,WL,T1,8x1,WK043_1_L_08h_03G4_S77,Mortensen et al 2023
WK042,WL,T2,48x2,WK042_2_L_48h_03G3_S76,Mortensen et al 2023
WK042,WL,T2,8x2,WK042_2_L_08h_03G2_S75,Mortensen et al 2023
WK042,WG,T2,48x2,WK042_2_G_48h_04B9_S118,Mortensen et al 2023
WK042,WL,T1,48x1,WK042_1_L_48h_03G1_S74,Mortensen et al 2023
WK042,WL,T1,8x1,WK042_1_L_08h_03F9_S73,Mortensen et al 2023
WK041,WL,T2,48x2,WK041_2_L_48h_03F8_S72,Mortensen et al 2023
WK041,WL,T2,8x2,WK041_2_L_08h_03F7_S71,Mortensen et al 2023
WK041,WG,T2,48x2,WK041_2_G_48h_04B8_S117,Mortensen et al 2023
WK041,WL,T1,48x1,WK041_1_L_48h_03F6_S70,Mortensen et al 2023
WK041,WL,T1,8x1,WK041_1_L_08h_03F5_S69,Mortensen et al 2023
WK040,WL,T2,48x2,WK040_2_L_48h_03F4_S68,Mortensen et al 2023
WK040,WL,T2,8x2,WK040_2_L_08h_03F3_S67,Mortensen et al 2023
WK040,WG,T2,48x2,WK040_2_G_48h_04B7_S116,Mortensen et al 2023
WK040,WL,T1,48x1,WK040_1_L_48h_03F2_S66,Mortensen et al 2023
WK040,WL,T1,8x1,WK040_1_L_08h_03F1_S65,Mortensen et al 2023
WK039,WL,T2,48x2,WK039_2_L_48h_03E9_S64,Mortensen et al 2023
WK039,WL,T2,8x2,WK039_2_L_08h_03E8_S63,Mortensen et al 2023
WK039,WG,T2,48x2,WK039_2_G_48h_04B6_S115,Mortensen et al 2023
WK039,WL,T1,48x1,WK039_1_L_48h_03E7_S62,Mortensen et al 2023
WK039,WL,T1,8x1,WK039_1_L_08h_03E6_S61,Mortensen et al 2023
WK038,WL,T2,48x2,WK038_2_L_48h_03E5_S60,Mortensen et al 2023
WK038,WL,T2,8x2,WK038_2_L_08h_03E4_S59,Mortensen et al 2023
WK038,WG,T2,48x2,WK038_2_G_48h_04B5_S114,Mortensen et al 2023
WK038,WL,T1,48x1,WK038_1_L_48h_03E3_S58,Mortensen et al 2023
WK038,WL,T1,8x1,WK038_1_L_08h_03E2_S57,Mortensen et al 2023
WK037,WL,T2,48x2,WK037_2_L_48h_03E1_S56,Mortensen et al 2023
WK037,WL,T2,8x2,WK037_2_L_08h_03D9_S55,Mortensen et al 2023
WK037,WG,T2,48x2,WK037_2_G_48h_04B4_S113,Mortensen et al 2023
WK037,WL,T1,48x1,WK037_1_L_48h_03D8_S54,Mortensen et al 2023
WK037,WL,T1,8x1,WK037_1_L_08h_03D7_S53,Mortensen et al 2023
WK036,WL,T2,48x2,WK036_2_L_48h_03D6_S52,Mortensen et al 2023
WK036,WL,T2,8x2,WK036_2_L_08h_03D5_S51,Mortensen et al 2023
WK036,WG,T2,48x2,WK036_2_G_48h_04B3_S112,Mortensen et al 2023
WK036,WL,T1,48x1,WK036_1_L_48h_03D4_S50,Mortensen et al 2023
WK036,WL,T1,8x1,WK036_1_L_08h_03D3_S49,Mortensen et al 2023
WK035,WL,T2,48x2,WK035_2_L_48h_03D2_S48,Mortensen et al 2023
WK035,WL,T2,8x2,WK035_2_L_08h_03D1_S47,Mortensen et al 2023
WK035,WG,T2,48x2,WK035_2_G_48h_04B2_S111,Mortensen et al 2023
WK035,WL,T1,48x1,WK035_1_L_48h_03C9_S46,Mortensen et al 2023
WK035,WL,T1,8x1,WK035_1_L_08h_03C8_S45,Mortensen et al 2023
WK034,WL,T2,48x2,WK034_2_L_48h_03C7_S44,Mortensen et al 2023
WK034,WL,T2,8x2,WK034_2_L_08h_03C6_S43,Mortensen et al 2023
WK034,WG,T2,48x2,WK034_2_G_48h_04B1_S110,Mortensen et al 2023
WK034,WL,T1,48x1,WK034_1_L_48h_03C5_S42,Mortensen et al 2023
WK034,WL,T1,8x1,WK034_1_L_08h_03C4_S41,Mortensen et al 2023
WK033,WL,T2,48x2,WK033_2_L_48h_03C3_S40,Mortensen et al 2023
WK033,WL,T2,8x2,WK033_2_L_08h_03C2_S39,Mortensen et al 2023
WK033,WG,T2,48x2,WK033_2_G_48h_04A9_S109,Mortensen et al 2023
WK033,WL,T1,48x1,WK033_1_L_48h_03C1_S38,Mortensen et al 2023
WK033,WL,T1,8x1,WK033_1_L_08h_03B9_S37,Mortensen et al 2023
WK032,WL,T2,48x2,WK032_2_L_48h_03B8_S36,Mortensen et al 2023
WK032,WL,T2,8x2,WK032_2_L_08h_03B7_S35,Mortensen et al 2023
WK032,WG,T2,48x2,WK032_2_G_48h_04A8_S108,Mortensen et al 2023
WK032,WL,T1,48x1,WK032_1_L_48h_03B6_S34,Mortensen et al 2023
WK032,WL,T1,8x1,WK032_1_L_08h_03B5_S33,Mortensen et al 2023
WK031,WL,T2,48x2,WK031_2_L_48h_03B4_S32,Mortensen et al 2023
WK031,WL,T2,8x2,WK031_2_L_08h_03B3_S31,Mortensen et al 2023
WK031,WG,T2,48x2,WK031_2_G_48h_04A7_S107,Mortensen et al 2023
WK031,WL,T1,48x1,WK031_1_L_48h_03B2_S30,Mortensen et al 2023
